Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KO,Trial     5,B4,0:18:00-0:18:20,4.65833,60.1936,0,0,0,0,0,0,93.1666,-0.076422,1642.9
LD KO,Trial     5,C2,0:15:00-0:15:20,4.93553,138.369,35,5.62,0,0,0,0,98.7106,0.183067,4535.16
LD KO,Trial     5,C2,0:15:20-0:15:40,4.52044,83.6155,3,4.8,0,0,0,0,90.228,-0.195534,3710.89
LD KO,Trial     5,C2,0:15:40-0:16:00,4.58562,83.6454,2,0.08,0,0,0,0,91.7124,-0.0381988,3636.05
LD KO,Trial     5,C2,0:16:00-0:16:20,4.79742,51.3301,0,0,0,0,0,0,95.9484,-0.00478316,1340.51
LD KO,Trial     5,C2,0:16:20-0:16:40,4.55936,56.0552,0,0,0,0,0,0,91.0048,0.657167,1934.28
LD KO,Trial     5,C2,0:16:40-0:17:00,4.67641,110.956,0,0,0,0,0,0,93.3411,0.0777111,5269.97
LD KO,Trial     5,C2,0:17:00-0:17:20,4.72666,106.526,0,0,0,0,0,0,94.5332,-0.345181,4022.61
LD KO,Trial     5,C2,0:17:20-0:17:40,5.09581,126.677,3,0.82,0,0,0,0,101.916,0.695338,5351.14
LD KO,Trial     5,C2,0:17:40-0:18:00,4.44141,113.749,0,0,0,0,0,0,88.8283,-0.404451,3020.58
LD KO,Trial     5,C2,0:18:00-0:18:20,4.72263,146.703,0,0,0,0,0,0,94.4526,0.447686,4986.8
LD KO,Trial     5,C3,0:15:00-0:15:20,3.99422,128.494,1,0.1,0,0,0,0,79.8844,-0.116175,4464.34
LD KO,Trial     5,C3,0:15:20-0:15:40,3.14582,126.979,3,9.74,0,0,0,0,62.7905,0.098426,4218.69
